word,value,count
The,25,449
of,22,248
and,52,180
is,15,142
I,0,111
in,24,100
shall,25,95
to,19,90
Be,33,89
&,26,86
not,43,83
a,5,80
my,39,80
For,36,66
are,32,65
all,7,62
me,34,62
thou,47,61
it,9,53
there,52,52
that,26,51
But,54,48
am,26,47
ye,31,46
this,27,45
With,20,43
Let,23,41
o,10,32
will,10,32
as,20,31
them,46,30
they,43,30
one,47,28
thy,30,27
he,16,25
prophet,57,25
Thee,38,25
then,49,25
her,30,24
you,53,24
love,46,23
secret,66,22
at,14,21
by,38,21
if,12,21
law,14,21
upon,63,21
no,34,20
your,67,20
or,24,19
unto,68,19
These,53,18
Who,21,18
death,53,17
do,33,16
him,24,16
joy,35,16
men,58,16
also,31,15
ever,62,15
from,57,15
light,24,15
shalt,33,15
word,55,15
Come,46,14
his,18,14
their,39,14
earth,44,13
before,82,12
book,57,12
feast,54,12
heart,44,12
Now,42,12
She,31,12
art,28,11
because,93,11
God,44,11
Hadit,40,11
King,52,11
None,71,11
nor,48,11
so,25,11
up,29,11
Worship,54,11
chosen,67,10
down,65,10
have,43,10
on,34,10
what,25,10
another,78,9
Behold,70,9
fear,44,9
house,66,9
man,50,9
name,63,9
Nuit,58,9
woman,68,9
words,70,9
an,29,8
child,29,8
ecstasy,77,8
Every,80,8
know,59,8
lord,48,8
Nu,49,8
other,49,8
our,49,8
star,43,8
than,41,8
thine,49,8
through,75,8
us,40,8
work,49,8
yet,40,8
Beast,62,7
fire,39,7
give,46,7
Gods,59,7
gold,45,7
heaven,80,7
into,43,7
its,24,7
lift,22,7
ordeals,81,7
power,49,7
priest,55,7
rituals,69,7
say,38,7
see,41,7
stars,58,7
which,16,7
wilt,18,7
about,69,6
among,71,6
any,47,6
blood,64,6
body,71,6
eyes,59,6
fall,19,6
flame,52,6
fools,48,6
force,51,6
kings,67,6
known,83,6
little,33,6
lust,50,6
make,56,6
ones,62,6
only,53,6
purple,61,6
Ra-Hoor-Khuit,110,6
rapture,84,6
rich,19,6
said,43,6
splendour,129,6
strength,98,6
therefore,101,6
therein,76,6
under,99,6
world,56,6
Write,44,6
after,53,5
Ah,8,5
black,45,5
bride,70,5
Burn,83,5
cometh,58,5
curse,69,5
die,36,5
drink,78,5
first,50,5
go,21,5
half,21,5
hand,55,5
hearts,59,5
infinite,82,5
key,48,5
Khabs,60,5
knowledge,120,5
lie,14,5
life,26,5
may,44,5
mine,58,5
nothing,81,5
perfect,67,5
Red,50,5
serpent,92,5
though,61,5
thus,52,5
thyself,71,5
veil,36,5
We,21,5
well,23,5
when,48,5
adore,65,4
against,69,4
Ankh-af-na-khonsu,189,4
aright,42,4
Beware,73,4
blue,59,4
change,58,4
Circle,32,4
comment,100,4
day,46,4
Delight,60,4
desire,78,4
eat,27,4
eight,36,4
exceed,70,4
feel,39,4
find,59,4
follow,42,4
folly,42,4
forth,48,4
glory,54,4
great,52,4
hast,32,4
hath,20,4
head,44,4
Hold,37,4
letters,74,4
long,46,4
