word,value,count
the,25,108
and,52,45
is,15,40
of,22,36
In,24,33
that,26,21
I,0,18
a,5,13
Thou,47,13
am,26,12
me,34,11
not,43,11
him,24,10
Be,33,9
his,18,9
It,9,9
to,19,9
All,7,8
are,32,8
as,20,8
from,57,8
Up,29,8
Let,23,7
my,39,7
shall,25,7
when,48,7
for,36,6
thy,30,6
art,28,5
But,54,5
end,60,5
no,34,5
sacred,72,5
storm,69,5
with,20,5
an,29,4
Eternity,100,4
Existence,95,4
great,52,4
like,31,4
progress,96,4
than,41,4
There,52,4
things,62,4
through,75,4
thyself,71,4
about,69,3
æon,34,3
Also,31,3
At,14,3
delight,60,3
eye,44,3
God,44,3
he,16,3
her,30,3
hills,20,3
holy,32,3
infinite,82,3
mine,58,3
more,58,3
Now,42,3
on,34,3
one,47,3
or,24,3
over,59,3
shalt,33,3
so,25,3
symbol,85,3
thee,38,3
therefore,101,3
this,27,3
Triangle,77,3
unto,68,3
water,49,3
who,21,3
act,16,2
adore,65,2
alike,36,2
before,82,2
beloved,102,2
by,38,2
Chain,34,2
circle,32,2
day,46,2
dead,64,2
do,33,2
ever,62,2
every,80,2
fall,19,2
force,51,2
forth,48,2
give,46,2
given,70,2
Glacier,46,2
Goat,35,2
himself,65,2
hood,46,2
Indus,87,2
into,43,2
leaps,38,2
light,24,2
live,36,2
man,50,2
many,68,2
Master,77,2
midst,68,2
might,44,2
mighty,62,2
mother,70,2
name,63,2
next,52,2
Oak,32,2
obstinate,105,2
rise,42,2
sap,24,2
save,55,2
sea,33,2
snake,74,2
tell,24,2
Then,49,2
these,53,2
thing,47,2
together,82,2
where,51,2
will,10,2
wind,55,2
within,44,2
woman,68,2
Word,55,2
Yea,36,2
A∴A∴,10,1
Above,70,1
accomplish,63,1
acorns,70,1
Adeptus,94,1
adultery,108,1
afar,36,1
again,45,1
against,69,1
although,67,1
Amen,63,1
among,71,1
Ancient,77,1
animals,71,1
apart,37,1
Apollo,31,1
application,64,1
armed,76,1
ass,35,1
Bacchus,72,1
back,44,1
Baphomet,85,1
base,53,1
basilisk,73,1
bazaar,68,1
Be-with-Us,93,1
bears,67,1
been,70,1
beginning,127,1
begun,93,1
being,68,1
beyond,108,1
black,45,1
blasted,86,1
Bliss,51,1
blown,63,1
Book,57,1
both,42,1
branches,96,1
burst,83,1
cavern,80,1
chastise,62,1
child,29,1
children,80,1
circles,47,1
clouds,76,1
concealed,93,1
concealments,139,1
concerning,124,1
confident,117,1
conjuration,130,1
conjure,95,1
constant,98,1
corpses,73,1
covenant,109,1
covereth,86,1
create,56,1
Creation,77,1
darkness,126,1
dash,46,1
dazzling,102,1
death,53,1
deceive,86,1
deeper,80,1
demon,91,1
Deva,63,1
dew,44,1
display,66,1
distant,85,1
Dominus,118,1
done,70,1
draw,50,1
driven,96,1
duck,67,1
each,23,1
easier,60,1
easy,51,1
Eightfold,82,1
enthroned,133,1
equilibrated,139,1
eucharist,86,1
even,72,1
exceed,70,1
exhausted,112,1
Existences,110,1
existeth,68,1
Eyeless,88,1
fallest,56,1
far,31,1
Fear,44,1
FIAT,26,1
fix,18,1
flames,67,1
flaming,74,1
floodeth,81,1
flowers,73,1
forcefulness,156,1
forest,73,1
fro,36,1
fury,69,1
gash,34,1
gathereth,80,1
gazelle,63,1
Genitor-Genetrix,171,1
Giant,49,1
gifts,47,1
givest,70,1
glee,38,1
Gnarled,91,1
Goddess,110,1
Grade,66,1
greater,79,1
grip,29,1
hair,22,1
hand,55,1
hang,43,1
hangs,58,1
hardens,97,1
harlot,42,1
Harpocrates,94,1
hath,20,1
have,43,1
Hawk,33,1
head,44,1
heath,33,1
hidden,86,1
hideous,89,1
Hold,37,1
holds,52,1
holiness,81,1
honour,86,1
horse,55,1
Horus,67,1
hound,85,1
human,78,1
hymn,66,1
illusion,76,1
incest,63,1
Interpretation,148,1
interpreted,136,1
Isis,30,1
its,24,1
itself,50,1
jewel,42,1
knowest,96,1
known,83,1
Land,53,1
leap,23,1
leash,37,1
lengthening,133,1
lesser,71,1
lewd,45,1
lie,14,1
life,26,1
lift,22,1
lifted,58,1
lightning,83,1
Liminis,61,1
Lingam,62,1
link,42,1
lonely,67,1
Lord,48,1
love,46,1
MAAT,40,1
magical,45,1
magus,77,1
marketplace,104,1
mastereth,102,1
matter,71,1
members,117,1
mercy,68,1
Meru,73,1
Most,55,1
Mount,89,1
mouth,68,1
must,70,1
nakedness,149,1
navel,65,1
neck,56,1
nested,97,1
No-Thing,81,1
No-Thing-Tree,130,1
Nor,48,1
nostrils,88,1
Nuit,58,1
olive,46,1
Only,53,1
Osiris,54,1
our,49,1
own,42,1
part,32,1
passion,73,1
peace,37,1
penned,101,1
Pisacha,34,1
places,40,1
plains,49,1
plucks,64,1
power,49,1
pride,54,1
ramparts,87,1
rapture,84,1
reaches,65,1
resistless,110,1
rites,51,1
rods,62,1
rooted,79,1
roses,67,1
ruddy,103,1
rustling,99,1
sacraments,123,1
satyr,61,1
scarred,86,1
scrub,76,1
sea-captain,82,1
secret,66,1
Set,37,1
showers,78,1
sigil,27,1
silence,68,1
Silver,65,1
sit,24,1
skull,59,1
sky,50,1
slain,45,1
slay,39,1
slyness,101,1
smiles,65,1
solitary,72,1
Spirit,42,1
spread,74,1
Star,43,1
stars,58,1
still,26,1
straineth,92,1
straining,102,1
stripped,82,1
subtlety,110,1
sucked,95,1
Supremely,124,1
sway,46,1
swollen,72,1
symbolic,87,1
Temple,61,1
ten,46,1
Therein,76,1
thereof,74,1
they,43,1
third,49,1
though,61,1
thousandfold,160,1
Three,52,1
thrice,41,1
throat,50,1
thus,52,1
Tooth,41,1
tossed,85,1
touched,85,1
triangles,92,1
Truth,60,1
twin,41,1
two,27,1
uglier,64,1
Understand,175,1
Universe,126,1
until,59,1
uplift,51,1
upon,63,1
verily,68,1
Vessel,79,1
vow,40,1
vows,55,1
war,27,1
waves,63,1
we,21,1
weather-beaten,149,1
whereof,73,1
which,16,1
wholly,41,1
Whom,42,1
whose,49,1
womb,59,1
worship,54,1
worshippeth,83,1
Yantra,75,1
ye,31,1
Yet,40,1
yielding,90,1
Yoni,52,1
