word,value,count
the,25,176
of,22,84
and,52,66
I,0,53
In,24,40
his,18,29
a,5,27
these,53,26
that,26,25
saw,28,23
All,7,22
He,16,22
One,47,20
into,43,18
for,36,17
as,20,16
God,44,16
fire,39,15
is,15,15
even,72,14
was,28,14
hath,20,13
rays,52,13
twelve,66,13
unto,68,13
me,34,12
not,43,12
they,43,12
things,62,12
it,9,11
to,19,11
Lord,48,10
Thee,38,10
them,46,10
Thou,47,10
at,14,9
Him,24,9
my,39,9
upon,63,9
were,48,9
Also,31,8
by,38,8
did,46,8
Qadosh,72,8
418,418,7
appeared,81,7
crown,58,7
established,117,7
hast,32,7
nor,48,7
Thy,30,7
touch,49,7
But,54,6
deceived,109,6
like,31,6
O,10,6
Star,43,6
subtlety,110,6
their,39,6
Universe,126,6
with,20,6
Yea,36,6
are,32,5
beyond,108,5
ever,62,5
her,30,5
our,49,5
So,25,5
word,55,5
any,47,4
black,45,4
earth,44,4
expanded,111,4
Father,56,4
from,57,4
men,58,4
place,25,4
then,49,4
water,49,4
which,16,4
Yet,40,4
abyss,73,3
Adonai,67,3
air,19,3
among,71,3
became,74,3
before,82,3
brilliance,80,3
dogs,59,3
essence,95,3
Fool,33,3
glory,54,3
goddess,110,3
great,52,3
Hell,18,3
its,24,3
little,33,3
might,44,3
myself,80,3
naught,77,3
or,24,3
rule,53,3
space,39,3
stars,58,3
There,52,3
Thus,52,3
Time,43,3
up,29,3
VVVVV,110,3
young,88,3
א,1,3
abode,71,2
about,69,2
accomplished,99,2
an,29,2
be,33,2
bear,52,2
bearing,87,2
beauty,90,2
beheld,73,2
behold,70,2
cannot,74,2
correct,64,2
Deeper,80,2
do,33,2
down,65,2
expandeth,100,2
faded,76,2
Farther,70,2
flaming,74,2
foam,48,2
formulate,110,2
globe,55,2
have,43,2
having,65,2
Image,50,2
indeed,96,2
Kingdom,106,2
laughter,81,2
Let,23,2
limbs,57,2
lovely,65,2
Majesty,88,2
man,50,2
Masters,92,2
Mind,68,2
mine,58,2
move,66,2
navel,65,2
no,34,2
ones,62,2
Only,53,2
over,59,2
Perfection,101,2
perfections,116,2
point,47,2
power,49,2
Say,38,2
seven,87,2
should,77,2
Sixfold,67,2
slaying,74,2
Spirit,42,2
Splendour,129,2
strength,98,2
sword,70,2
vision,71,2
Voice,47,2
warrior,65,2
whereby,89,2
white,33,2
who,21,2
winged,79,2
wisdom,77,2
Woman,68,2
ר,200,2
abashed,84,1
abideth,73,1
above,70,1
absorbed,120,1
across,61,1
Adept,54,1
admiring,98,1
adorable,91,1
adored,88,1
Ægypt,60,1
æther,57,1
affirmation,112,1
after,53,1
against,69,1
agèd,52,1
alone,53,1
aloud,64,1
am,26,1
another,78,1
anything,94,1
apes,37,1
Ararita,52,1
armour,89,1
art,28,1
ashamed,85,1
aside,56,1
averse,82,1
away,36,1
back,44,1
bark,56,1
battle,57,1
beautiful,110,1
become,79,1
Beginning,127,1
Begone,91,1
being,68,1
belching,74,1
Belts,58,1
bendeth,105,1
birth,46,1
Body,71,1
boweth,63,1
boy,48,1
bride,70,1
brilliant,74,1
broken,98,1
brought,92,1
bull-men,105,1
burning,118,1
came,41,1
can,31,1
carrion,69,1
cast,31,1
