word,value,count
the,25,66
and,52,34
of,22,24
thy,30,20
Thou,47,19
shall,25,18
be,33,15
is,15,15
in,24,14
unto,68,13
that,26,12
This,27,12
for,36,10
it,9,9
shalt,33,9
thee,38,9
not,43,8
life,26,6
dust,72,5
her,30,5
no,34,5
one,47,5
Then,49,5
upon,63,5
with,20,5
ye,31,5
a,5,4
end,60,4
if,12,4
known,83,4
our,49,4
thereof,74,4
thine,49,4
abyss,73,3
Beginning,127,3
beyond,108,3
but,54,3
by,38,3
from,57,3
Graal,36,3
hast,32,3
Lady,47,3
Let,23,3
love,46,3
Nor,48,3
out,44,3
thyself,71,3
Truth,60,3
Abominations,143,2
all,7,2
Also,31,2
angels,69,2
at,14,2
Beast,62,2
bones,82,2
cast,31,2
Chaos,35,2
do,33,2
flesh,44,2
give,46,2
God,44,2
guardians,122,2
health,34,2
heart,44,2
Holy,32,2
into,43,2
keep,47,2
know,59,2
Lord,48,2
more,58,2
Mother,70,2
Path,21,2
rideth,62,2
Sacrament,108,2
should,77,2
therefore,101,2
therein,76,2
these,53,2
things,62,2
thus,52,2
to,19,2
wealth,39,2
will,10,2
winds,70,2
Yea,36,2
yet,40,2
abandonment,178,1
accursèd,99,1
achieve,58,1
æon,52,1
afflicted,77,1
air,19,1
arrive,68,1
art,28,1
as,20,1
ash,23,1
attain,52,1
avail,33,1
Babalon,85,1
babe,58,1
back,44,1
Be-with-Us,93,1
bear,52,1
beat,47,1
because,93,1
behold,70,1
belly,53,1
bend,80,1
bid,43,1
birds,72,1
blood,64,1
boys,63,1
brain,63,1
breast,76,1
bride,70,1
bring,69,1
Chapel,28,1
charge,48,1
Child,29,1
City,29,1
come,46,1
corners,92,1
Crowned,94,1
cup,31,1
dance,67,1
dancers,96,1
daughter,103,1
Day,46,1
Death,53,1
defile,62,1
desire,78,1
despite,77,1
divest,82,1
dogs,59,1
dost,57,1
drain,66,1
drop,51,1
dumb,89,1
dung,83,1
eater,54,1
even,72,1
ever,62,1
every,80,1
eyes,59,1
face,32,1
father,56,1
feast,54,1
fervour,110,1
fling,48,1
foot,41,1
forgotten,112,1
fornications,125,1
four,61,1
gain,40,1
gather,55,1
glare,44,1
glory,54,1
go,21,1
gold,45,1
golden,82,1
goods,69,1
grace,45,1
granted,99,1
Hadit,40,1
hang,43,1
hath,20,1
have,43,1
heap,25,1
Hermes,79,1
I,0,1
inevitably,112,1
Infinite,82,1
Invisible,95,1
itself,50,1
joy,35,1
knees,82,1
Knowledge,120,1
lawful,52,1
lay,24,1
little,33,1
lonely,67,1
longer,73,1
loose,49,1
lost,35,1
lust,50,1
market-place,104,1
mayest,81,1
me,34,1
merchants,106,1
midden,104,1
mingle,70,1
must,70,1
name,63,1
need,73,1
new,45,1
Now,42,1
Nuit,58,1
or,24,1
pass,39,1
passion,73,1
pour,53,1
prepared,90,1
prey,49,1
Pyramids,100,1
quenchless,127,1
revel,63,1
ritual,54,1
roses,67,1
sacred,72,1
Scarlet,59,1
secret,66,1
She,31,1
sheet,53,1
sing,50,1
singers,92,1
slay,39,1
So,25,1
spices,49,1
spit,28,1
stealth,55,1
step,41,1
sun,64,1
take,44,1
tear,41,1
their,39,1
them,46,1
themselves,125,1
there,52,1
they,43,1
thought,70,1
together,82,1
toward,69,1
trample,67,1
universal,119,1
Unknown,132,1
up,29,1
verily,68,1
vessel,79,1
Virgin,71,1
virgins,86,1
vultures,124,1
wanton,80,1
We,21,1
were,48,1
when,48,1
Wherefore,100,1
whereon,85,1
white,33,1
whiten,57,1
wife,33,1
wines,60,1
wisdom,77,1
Woman,68,1
wonderful,130,1
wrath,39,1
you,53,1
young,88,1
