word,value,count
the,25,825
of,22,426
and,52,331
I,0,184
Thou,47,149
in,24,128
a,5,121
that,26,119
my,39,111
is,15,110
O,10,92
with,20,76
thee,38,75
Thy,30,75
was,28,72
me,34,61
shall,25,57
to,19,57
one,47,56
As,20,55
unto,68,53
not,43,50
For,36,47
have,43,45
It,9,44
but,54,43
art,28,42
they,43,41
He,16,38
Adonai,67,37
Be,33,36
his,18,36
all,7,35
her,30,34
Lord,48,34
upon,63,31
am,26,30
into,43,30
let,23,30
There,52,30
this,27,30
so,25,29
also,31,28
Then,49,27
an,29,26
by,38,25
no,34,25
shalt,33,25
at,14,24
From,57,24
Heart,44,23
are,32,22
may,44,22
their,39,22
them,46,22
up,29,22
who,21,22
Even,72,21
like,31,21
serpent,92,20
beloved,102,19
Beyond,108,19
ever,62,19
God,44,19
infinite,82,19
hast,32,18
him,24,18
little,33,18
will,10,17
About,69,16
abyss,73,16
beautiful,110,16
beheld,73,16
hath,20,16
Yea,36,16
come,46,15
she,31,15
stars,58,15
Therefore,101,15
blood,64,14
end,60,14
Great,52,14
away,36,13
before,82,13
body,71,13
came,41,13
down,65,13
light,24,13
night,47,13
said,43,13
us,40,13
ye,31,13
holy,32,12
Nor,48,12
spake,54,12
through,75,12
white,33,12
yet,40,12
black,45,11
gold,45,11
mine,58,11
our,49,11
soul,51,11
thereof,74,11
these,53,11
things,62,11
water,49,11
we,21,11
land,53,10
love,46,10
more,58,10
On,34,10
ones,62,10
became,74,9
Behold,70,9
boy,48,9
deep,53,9
image,50,9
kisses,75,9
name,63,9
out,44,9
Snake,74,9
than,41,9
therein,76,9
waters,64,9
were,48,9
word,55,9
against,69,8
among,71,8
being,68,8
bliss,51,8
city,29,8
darling,78,8
delight,60,8
earth,44,8
found,94,8
glory,54,8
lips,20,8
man,50,8
master,77,8
men,58,8
now,42,8
old,34,8
or,24,8
river,63,8
saying,73,8
scribe,64,8
sea,33,8
secret,66,8
thine,49,8
wine,45,8
Ah,8,7
boat,44,7
certain,67,7
crown,58,7
Death,53,7
Eternity,100,7
heard,58,7
its,24,7
joy,35,7
Magician,68,7
Magister,88,7
midst,68,7
passed,75,7
Poison,63,7
prophet,57,7
silence,68,7
spirit,42,7
swan,52,7
Universe,126,7
voice,47,7
woman,68,7
your,67,7
answered,115,6
blue,59,6
children,80,6
coils,28,6
day,46,6
did,46,6
didst,70,6
do,33,6
evil,36,6
flowers,73,6
had,31,6
made,62,6
many,68,6
milk,39,6
mother,70,6
mountain,118,6
myself,80,6
pillar,25,6
played,64,6
red,50,6
Sleep,46,6
time,43,6
utterly,89,6
VVVVV,110,6
wast,37,6
weary,58,6
Adept,54,5
æons,67,5
Asar,39,5
beauty,90,5
been,70,5
between,100,5
book,57,5
cast,31,5
cried,52,5
eat,27,5
flower,58,5
forth,48,5
gods,59,5
head,44,5
hour,52,5
how,21,5
if,12,5
ineffable,100,5
invisible,95,5
laughed,81,5
life,26,5
mighty,62,5
mouth,68,5
only,53,5
purple,61,5
rapture,84,5
rejoice,59,5
saw,28,5
still,26,5
Thyself,71,5
together,82,5
void,55,5
when,48,5
wings,58,5
abode,71,4
Ages,44,4
Amrit,49,4
aside,56,4
bear,52,4
bird,57,4
blade,62,4
brilliance,80,4
called,45,4
coming,68,4
dark,59,4
devour,107,4
dost,57,4
drink,78,4
ecstasy,77,4
every,80,4
exceedingly,124,4
eyes,59,4
fang,52,4
fine,49,4
flesh,44,4
foolish,51,4
glad,40,4
golden,82,4
grape,47,4
green,75,4
harper,53,4
Isis,30,4
king,52,4
knowest,96,4
laid,29,4
last,30,4
lover,60,4
lutes,63,4
make,56,4
moon,65,4
mother-of-pearl,129,4
music,63,4
naught,77,4
Nay,47,4
Nile,38,4
none,71,4
over,59,4
pain,33,4
people,45,4
perfection,101,4
Phallus,54,4
play,28,4
pure,56,4
right,37,4
ring,49,4
sapphire,58,4
set,37,4
Speech,50,4
spoken,83,4
stream,77,4
Sun,64,4
sweet,58,4
taint,47,4
thereon,86,4
thing,47,4
Unknown,132,4
Verily,68,4
wherein,75,4
which,16,4
wind,55,4
words,70,4
world,56,4
’stablished,104,3
again,45,3
air,19,3
aloud,64,3
Amen,63,3
Another,78,3
Apep,26,3
arise,47,3
Asi,20,3
awake,48,3
because,93,3
beginning,127,3
bright,57,3
Bring,69,3
burst,83,3
