word,value,count
the,25,512
of,22,262
And,52,185
I,0,158
a,5,131
my,39,110
Thou,47,104
in,24,98
O,10,91
is,15,84
God,44,81
to,19,54
Thee,38,53
shall,25,52
that,26,49
me,34,47
Thy,30,45
it,9,43
with,20,43
be,33,40
love,46,39
like,31,37
we,21,36
all,7,35
But,54,33
there,52,33
art,28,32
for,36,31
Let,23,31
Into,43,30
upon,63,30
by,38,29
us,40,29
am,26,27
from,57,27
are,32,23
as,20,23
not,43,22
was,28,22
An,29,21
He,16,20
so,25,18
yea,36,18
this,27,17
beautiful,110,16
On,34,16
One,47,16
Pan,33,16
will,10,16
come,46,15
Even,72,15
grey,56,14
have,43,14
his,18,14
these,53,14
great,52,13
Then,49,13
away,36,12
gold,45,12
how,21,12
nor,48,12
out,44,12
they,43,12
world,56,12
ye,31,12
little,33,11
our,49,11
over,59,11
their,39,11
unto,68,11
wine,45,11
bird,57,10
land,53,10
mine,58,10
stars,58,10
than,41,10
Wast,37,10
white,33,10
whole,35,10
beyond,108,9
blood,64,9
darling,78,9
end,60,9
fall,19,9
Night,47,9
Universe,126,9
who,21,9
word,55,9
Yet,40,9
at,14,8
death,53,8
down,65,8
glory,54,8
hast,32,8
Lover,60,8
marble,74,8
Now,42,8
Oh,13,8
soul,51,8
them,46,8
things,62,8
through,75,8
also,31,7
ever,62,7
fire,39,7
folk,40,7
golden,82,7
heart,44,7
him,24,7
its,24,7
joy,35,7
mighty,62,7
no,34,7
priest,55,7
She,31,7
silence,68,7
song,60,7
up,29,7
which,16,7
Ah,8,6
among,71,6
Bacchus,72,6
body,71,6
came,41,6
Did,46,6
face,32,6
flame,52,6
Iacchus,52,6
kisses,75,6
life,26,6
light,24,6
lightning,83,6
Lord,48,6
many,68,6
new,45,6
only,53,6
When,48,6
Why,29,6
alone,53,5
Ammon-Ra,100,5
beheld,73,5
black,45,5
cry,34,5
darkness,126,5
earth,44,5
every,80,5
eyes,59,5
falls,34,5
first,50,5
Gods,59,5
her,30,5
holy,32,5
Io,10,5
lonely,67,5
men,58,5
moon,65,5
more,58,5
pain,33,5
rapture,84,5
remember,129,5
river,63,5
see,41,5
shalt,33,5
speech,50,5
strange,91,5
strong,83,5
tongue,92,5
voice,47,5
what,25,5
above,70,4
abyss,73,4
back,44,4
bear,52,4
boy,48,4
crown,58,4
dark,59,4
didst,70,4
do,33,4
done,70,4
drink,78,4
eternity,100,4
forth,48,4
horse,55,4
Invisible,95,4
Kiss,47,4
know,59,4
maidens,101,4
man,50,4
million,57,4
moons,80,4
Mountain,118,4
never,86,4
old,34,4
pool,25,4
saw,28,4
sea,33,4
set,37,4
seven,87,4
sing,50,4
smite,58,4
spear,51,4
still,26,4
sun,64,4
sunset,101,4
sweet,58,4
Thine,49,4
thought,70,4
Time,43,4
water,49,4
were,48,4
Within,44,4
words,70,4
worship,54,4
written,77,4
your,67,4
accomplished,99,3
afar,36,3
afraid,59,3
again,45,3
aloud,64,3
ancient,77,3
apart,37,3
avail,33,3
before,82,3
Beginning,127,3
behold,70,3
being,68,3
beloved,102,3
bitter,65,3
bliss,51,3
Book,57,3
cat,16,3
catch,21,3
chid,28,3
child,29,3
Dance,67,3
dost,57,3
draw,50,3
drunken,140,3
dust,72,3
Eight,36,3
Elevenfold,132,3
embrace,88,3
enjoy,72,3
enough,86,3
falling,54,3
fawn,49,3
feast,54,3
feet,47,3
fish,30,3
forest,73,3
full,39,3
garden,90,3
girls,41,3
Goat,35,3
greater,79,3
groves,85,3
had,31,3
hand,55,3
head,44,3
heaven,80,3
hidden,86,3
honey,68,3
insane,81,3
letters,74,3
lips,20,3
loneliness,116,3
madness,116,3
maiden,86,3
maratza,78,3
may,44,3
mother,70,3
mouth,68,3
Myself,80,3
naked,82,3
nostrils,88,3
nothing,81,3
off,34,3
Osiris,54,3
other,49,3
ourselves,128,3
pearl,37,3
pleasure,90,3
purple,61,3
red,50,3
rejoice,59,3
right,37,3
Roses,67,3
sand,67,3
secret,66,3
self,41,3
shining,77,3
should,77,3
sky,50,3
slave,56,3
slaves,71,3
sleep,46,3
soft,46,3
space,39,3
sword,70,3
take,44,3
taste,51,3
temple,61,3
therefore,101,3
Therein,76,3
throat,50,3
too,29,3
two,27,3
unbind,116,3
under,99,3
utterly,89,3
very,67,3
waters,64,3
without,64,3
woman,68,3
woods,66,3
work,49,3
World-Elephant,128,3
wrong,67,3
A’in,29,2
abominable,119,2
about,69,2
against,69,2
Al,6,2
alike,36,2
answer,79,2
answered,115,2
any,47,2
atoms,60,2
await,27,2
awful,51,2
bed,56,2
been,70,2
behind,83,2
beside,84,2
bound,102,2
breath,64,2
bright,57,2
bring,69,2
brown,76,2
build,69,2
bulls,62,2
burning,118,2
calls,24,2
can,31,2
ceased,71,2
centre,75,2
certain,67,2
children,80,2
chirp,23,2
city,29,2
clamour,78,2
cloak,35,2
Clouds,76,2
cold,36,2
comes,61,2
courtesan,117,2
crater,57,2
creep,46,2
cried,52,2
crystal,64,2
cup,31,2
cup-bearers,125,2
cut,36,2
day,46,2
days,61,2
dead,64,2
Deep,53,2
Deeper,80,2
demons,106,2
desirable,104,2
dew,44,2
disease,84,2
distant,85,2
distil,48,2
Doric,49,2
dreadful,116,2
dream,76,2
drunk,103,2
dusk,80,2
each,23,2
edge,60,2
Eros,52,2
evil,36,2
eye,44,2
eyelids,83,2
Falútli,28,2
far,31,2
Farther,70,2
favours,103,2
fear,44,2
feel,39,2
five,47,2
flaming,74,2
flow,31,2
flowers,73,2
flute,60,2
free,52,2
freedom,106,2
gale,30,2
glorious,86,2
go,21,2
Goddess,110,2
good,54,2
green,75,2
happiness,83,2
harder,72,2
has,23,2
hath,20,2
hear,35,2
hideth,51,2
high,17,2
horns,66,2
house,66,2
Iao,15,2
incense,91,2
invoke,86,2
Isis,30,2
jewels,57,2
laughter,81,2
lay,24,2
leap,23,2
limbs,57,2
liquor,66,2
lo,11,2
lovelier,74,2
mad,49,2
made,62,2
make,56,2
master,77,2
memory,97,2
midst,68,2
mind,68,2
most,55,2
music,63,2
must,70,2
naught,77,2
nipples,61,2
none,71,2
ocean,54,2
oil,11,2
open,51,2
page,33,2
Palace,30,2
pearls,52,2
perfume,102,2
Pertinax,75,2
poured,89,2
prongs,78,2
Pyramid,85,2
pyre,49,2
rage,43,2
read,55,2
rejoiced,82,2
rest,51,2
revealed,104,2
runes,91,2
said,43,2
scarlet,59,2
seen,65,2
shape,40,2
shoulders,119,2
silver,65,2
snows,72,2
songs,75,2
sound,97,2
Speak,54,2
spears,66,2
spell,34,2
spilt,29,2
splendid,103,2
Staff,53,2
stand,76,2
Statue,76,2
stone,71,2
stood,67,2
thereof,74,2
thing,47,2
Think,53,2
thousand,114,2
Three,52,2
Thus,52,2
Thyself,71,2
times,58,2
tincture,96,2
together,82,2
torn,57,2
torrent,93,2
tree,49,2
troubled,115,2
true,61,2
utmost,89,2
vain,51,2
vehement,118,2
Verbum,115,2
vigour,82,2
vision,71,2
waking,65,2
walking,66,2
waning,72,2
weird,58,2
well,23,2
went,54,2
wickedness,130,2
wilderness,126,2
wilt,18,2
winged,79,2
wings,58,2
women,76,2
wonderful,130,2
worlds,71,2
worm,53,2
write,44,2
Years,65,2
yellow,51,2
yonder,102,2
you,53,2
young,88,2
418,418,1
abide,61,1
abiding,83,1
abode,71,1
abreast,81,1
Abyssinia,102,1
accursèd,99,1
ache,23,1
across,61,1
act,16,1
adamant,92,1
adored,88,1
Ægean,53,1
æon,34,1
Æons,49,1
æther,39,1
aflame,57,1
Afloat,42,1
ages,44,1
agone,63,1
agora,45,1
altar,34,1
Altars,49,1
altogether,88,1
alway,37,1
ambiguous,132,1
Amen,63,1
Amri,40,1
Anarchy,71,1
angel,54,1
angrily,73,1
Anguish,83,1
annihilation,105,1
anointed,108,1
another,78,1
Apep,26,1
apex,28,1
Apis,24,1
appetite,57,1
arbour,88,1
archangel,78,1
archangels,93,1
ardently,107,1
around,101,1
arrow,51,1
Ascend,82,1
Assembly,108,1
Astor,53,1
asylum,85,1
Athenian,83,1
Athens,69,1
athlete,53,1
atman,64,1
atone,61,1
atrocious,90,1
attain,52,1
attained,88,1
autumn,109,1
averse,82,1
averted,99,1
awaiting,62,1
awhile,30,1
axis,26,1
ay,23,1
bait,34,1
bank,66,1
banquet,112,1
bare,52,1
bartered,111,1
based,76,1
basket,79,1
bath,37,1
bathing,72,1
bearded,111,1
bearing,87,1
beast,62,1
beasts,77,1
beat,47,1
beatitude,117,1
become,79,1
Bedchamber,134,1
bees,61,1
befall,52,1
begin,68,1
begone,91,1
begotten,109,1
belly,53,1
below,52,1
beneath,87,1
Bennu,106,1
Better,78,1
beware,73,1
bill,22,1
bind,67,1
birds,72,1
bites,57,1
blaze,58,1
blesséd,100,1
blind,68,1
blizzard,101,1
blood-red,114,1
blood-thirst,114,1
bloody,82,1
blue,59,1
boat,44,1
bodies,81,1
bonds,92,1
borne,81,1
bought,78,1
boyhood,94,1
boys,63,1
brave,74,1
bread,75,1
breaker,96,1
breaks,84,1
breasts,91,1
Breathe,77,1
breed,83,1
Brew,55,1
bridal,63,1
brilliance,80,1
brilliant,74,1
broken,98,1
brooding,112,1
brought,92,1
bulk,63,1
bull,47,1
Burn,83,1
burnt-up,121,1
burrow,91,1
bursts,98,1
Bury,77,1
butting,98,1
byways,84,1
cacique,63,1
cackle,40,1
Cæsar,54,1
cakes,52,1
Caligula,50,1
called,45,1
camel,42,1
camest,65,1
cannot,74,1
canopy,63,1
captain,49,1
carapace,50,1
Cast,31,1
cates,44,1
cats,31,1
caught,55,1
cave,42,1
ceaseless,92,1
cells,32,1
centaur,92,1
central,68,1
chain,34,1
Chamber,78,1
changeless,102,1
chant,43,1
Chapel,28,1
charmed,81,1
charred,74,1
check,37,1
Chian,34,1
chorus,69,1
cicada,37,1
circles,47,1
circuit,52,1
circus,58,1
Citlaltepetl,67,1
clad,31,1
clear,35,1
cloistral,57,1
closing,63,1
cluster,79,1
coffin,60,1
Colder,63,1
coldness,103,1
column,83,1
cometh,58,1
commune,116,1
company,84,1
concealed,93,1
cone,49,1
consecrated,130,1
constellations,138,1
consummate,145,1
conventicles,135,1
cook,39,1
cool,23,1
coolth,35,1
corn,50,1
corner-stone,148,1
corpse,58,1
cosy,45,1
could,61,1
count,70,1
countenance,151,1
country,102,1
cover,61,1
cow,20,1
crackle,54,1
cradle,58,1
cries,44,1
crook’d,76,1
crowned,94,1
crucified,91,1
cruel,55,1
crush,59,1
crushed,95,1
crystalline,102,1
crystallized,120,1
cubby,85,1
cup-boy,79,1
curse,69,1
curve,76,1
dagger,77,1
dais,43,1
darkened,132,1
daughter,103,1
dawn,60,1
deadly,83,1
dear,55,1
deceiver,100,1
deed,72,1
deeds,87,1
delicious,89,1
delight,60,1
Delos,62,1
deona,75,1
desire,78,1
desolate,89,1
desolation,110,1
Destroyer,129,1
destruction,144,1
devilish,77,1
devotion,111,1
devourer,134,1
devouring,142,1
diamond,106,1
die,36,1
diffracted,113,1
dim,44,1
dimmest,102,1
directions,110,1
disguise,102,1
disperse,97,1
disruptive,125,1
dissolve,99,1
dissolved,122,1
diverse,100,1
divine,82,1
domain,83,1
dower,68,1
drank,83,1
draught,90,1
drawn,74,1
dread,78,1
dreamt,85,1
dregs,76,1
drenched,115,1
drinketh,103,1
drivest,96,1
drop,51,1
drowse,83,1
drug,73,1
drugs,88,1
Druid,85,1
Druids,100,1
ear,32,1
eat,27,1
eggs,50,1
Emperor,89,1
emptiness,114,1
empty,65,1
enchantment,147,1
encompass,109,1
engraven,126,1
Enlightenment,165,1
enlightens,113,1
Equinox,94,1
erect,51,1
Especially,72,1
essence,95,1
eternal,79,1
eunuch,92,1
ever-weeping,135,1
everything,127,1
Exceedingly,124,1
Excellent,82,1
exorcise,73,1
expire,50,1
eyebrows,111,1
fades,68,1
fail,18,1
faith,29,1
false,46,1
fangs,67,1
fantastic,81,1
Fasten,78,1
fasting,76,1
favoured,124,1
feats,54,1
feminine,107,1
few,33,1
fields,64,1
fiery,57,1
fight,35,1
fightest,72,1
fighting,70,1
figure,75,1
filling,49,1
finger-tips,102,1
fires,54,1
firmament,119,1
fish-hook,70,1
fit,21,1
flag,29,1
flake,48,1
flames,67,1
flapping,61,1
flats,42,1
fled,49,1
flights,51,1
float,37,1
flock,42,1
flower,58,1
flung,73,1
fly,31,1
foam,48,1
follow,42,1
following,77,1
folly,42,1
food,55,1
fool,33,1
foolish,51,1
Forces,66,1
forests,88,1
forgetfulness,174,1
form,57,1
fortified,93,1
forward,86,1
fought,70,1
found,94,1
fox,28,1
fresh,57,1
froth,48,1
fruit,60,1
fumes,86,1
fur,51,1
gain,40,1
gained,76,1
galaxies,56,1
galaxy,46,1
galloping,67,1
Gargantuan,133,1
gather,55,1
gaunt,74,1
gave,51,1
generous,125,1
gilded,71,1
Give,46,1
given,70,1
glaciers,61,1
