word,value,count
the,25,54
of,22,31
and,52,25
to,19,17
in,24,14
is,15,13
a,5,10
all,7,9
are,32,9
by,38,9
this,27,9
But,54,8
as,20,7
be,33,7
from,57,7
He,16,7
them,46,7
you,53,7
for,36,6
one,47,6
shall,25,6
these,53,6
We,21,6
have,43,5
his,18,5
if,12,5
It,9,5
life,26,5
that,26,5
they,43,5
which,16,5
Absolute,98,4
dark,59,4
I,0,4
Knowledge,120,4
light,24,4
many,68,4
or,24,4
things,62,4
who,21,4
adepts,69,3
Ages,44,3
come,46,3
Earth,44,3
even,72,3
Men,58,3
not,43,3
ready,73,3
so,25,3
some,59,3
there,52,3
upon,63,3
VVVVV,110,3
with,20,3
Yet,40,3
abideth,73,2
above,70,2
adept,54,2
again,45,2
another,78,2
attained,88,2
between,100,2
beyond,108,2
bliss,51,2
book,57,2
bright,57,2
bring,69,2
cannot,74,2
certain,67,2
few,33,2
friends,101,2
furnace,95,2
heard,58,2
him,24,2
iron,48,2
known,83,2
Little,33,2
Look,38,2
lost,35,2
may,44,2
minute,92,2
myriad,81,2
nature,90,2
ones,62,2
only,53,2
orb,44,2
Path,21,2
read,55,2
say,38,2
seeker,85,2
servants,117,2
small,43,2
space,39,2
suited,85,2
their,39,2
therefore,101,2
Truth,60,2
unto,68,2
up,29,2
vast,51,2
will,10,2
words,70,2
writeth,56,2
your,67,2
abyss,73,1
age,29,1
alchemy,63,1
alembic,62,1
alone,53,1
also,31,1
am,26,1
amid,49,1
among,71,1
an,29,1
ancients,92,1
any,47,1
ascending,117,1
Atheism,66,1
attain,52,1
been,70,1
beginning,127,1
behold,70,1
best,57,1
birth,46,1
blow,39,1
brilliance,80,1
Buddha,99,1
burn,83,1
called,45,1
can,31,1
chains,49,1
change,58,1
choose,53,1
chosen,67,1
closely,60,1
clouds,76,1
coal,18,1
comprehend,127,1
conditions,117,1
consumed,133,1
Court,60,1
death,53,1
delights,75,1
diverse,100,1
do,33,1
easily,52,1
end,60,1
endowed,114,1
escape,52,1
eternal,79,1
extreme,89,1
eyes,59,1
fallen,56,1
fellows,60,1
fire,39,1
First,50,1
fitted,66,1
flame,52,1
forth,48,1
gifts,47,1
glory,54,1
goal,27,1
great,52,1
grow,43,1
has,23,1
heart,44,1
heat,30,1
here,43,1
Holies,42,1
Holy,32,1
ignorance,103,1
impossible,99,1
indeed,96,1
ineffable,100,1
infinite,82,1
insight,62,1
intelligence,111,1
intense,98,1
into,43,1
its,24,1
judge,79,1
language,95,1
lead,42,1
learn,57,1
least,43,1
made,62,1
man,50,1
manifest,99,1
master,77,1
messenger,139,1
mine,58,1
mitigated,91,1
Mohammed,117,1
mountain,118,1
must,70,1
my,39,1
myself,80,1
nameless,107,1
Nevertheless,155,1
nonsense,138,1
nothing,81,1
now,42,1
Odyssey,112,1
old,34,1
other,49,1
our,49,1
pass,39,1
perverted,125,1
philosophies,78,1
pretends,115,1
Profane,82,1
ray,37,1
realization,100,1
receive,77,1
rejoice,59,1
religions,88,1
remains,92,1
reveal,68,1
save,55,1
sayeth,63,1
scholar,50,1
secret,66,1
seed,64,1
seeing,76,1
seem,62,1
seems,77,1
sending,110,1
servant,102,1
sickness,101,1
sight,38,1
sign,50,1
snows,72,1
sorrow,71,1
sought,73,1
spiritual,73,1
splendour,129,1
splendours,144,1
started,88,1
steep,54,1
stronger,110,1
successors,126,1
sufficiently,131,1
sunlight,88,1
supreme,105,1
symbols,100,1
system,91,1
systems,106,1
taketh,56,1
tell,24,1
Theism,61,1
Then,49,1
thereunto,120,1
through,75,1
throughout,119,1
Thus,52,1
together,82,1
transcendent,175,1
ultimate,83,1
understand,175,1
understood,166,1
unintelligible,142,1
untouched,134,1
unutterable,158,1
unveil,85,1
vain,51,1
valley,60,1
Veil,36,1
veils,51,1
vision,71,1
vulgar,78,1
wander,87,1
wealth,39,1
were,48,1
wheeling,73,1
while,25,1
without,64,1
women,76,1
wood,51,1
word,55,1
Work,49,1
world,56,1
yea,36,1
zelator,71,1
