word,value,count
the,25,105
and,52,38
of,22,35
shall,25,33
thou,47,24
be,33,21
I,0,19
in,24,19
shalt,33,17
altar,34,14
that,26,13
thee,38,13
with,20,13
is,15,11
to,19,11
a,5,10
he,16,9
my,39,9
fear,44,8
for,36,8
This,27,8
upon,63,8
will,10,8
Also,31,7
am,26,7
fu,37,7
blood,64,6
as,20,5
have,43,5
It,9,5
No,34,5
O,10,5
then,49,5
There,52,5
Tu,34,5
which,16,5
life,26,4
Master,77,4
midst,68,4
nothing,81,4
secret,66,4
Star,43,4
These,53,4
thy,30,4
up,29,4
within,44,4
ā,5,3
All,7,3
another,78,3
Apep,26,3
At,14,3
beyond,108,3
earth,44,3
fire,39,3
five,47,3
God,44,3
hast,32,3
none,71,3
One,47,3
pa,9,3
rapture,84,3
rite,36,3
ritual,54,3
Ruby,77,3
slay,39,3
telai,28,3
Ti,9,3
ū,25,3
unto,68,3
Ūt,9,3
wa,13,3
who,21,3
words,70,3
appear,45,2
are,32,2
Asar,39,2
before,82,2
black,45,2
But,54,2
by,38,2
death,53,2
denied,96,2
drink,78,2
exalted,70,2
excite,43,2
First,50,2
from,57,2
give,46,2
glory,54,2
green,75,2
head,44,2
heart,44,2
His,18,2
IAO,15,2
If,12,2
into,43,2
joy,35,2
kingdoms,121,2
Let,23,2
lion-roar,78,2
love,46,2
lust,50,2
malai,32,2
man,50,2
me,34,2
melai,40,2
most,55,2
Mu,46,2
New,45,2
Next,52,2
not,43,2
OAI,15,2
out,44,2
overcome,105,2
Pe,17,2
perform,88,2
praise,51,2
rejoice,59,2
roses,67,2
save,55,2
so,25,2
spat,33,2
Stars,58,2
stone,71,2
subtle,83,2
them,46,2
thereon,86,2
things,62,2
thyself,71,2
trampled,90,2
tulu,60,2
two,27,2
wheels,53,2
wine,45,2
world,56,2
wounds,105,2
abide,61,1
abideth,73,1
adorations,115,1
again,45,1
Al,6,1
alike,36,1
alone,53,1
among,71,1
any,47,1
arisen,71,1
assure,87,1
Averse,82,1
await,27,1
awake,48,1
balae,44,1
bare,52,1
Beloved,102,1
Bi,20,1
bloom,62,1
body,71,1
book,57,1
bowels,67,1
bring,69,1
burnt,92,1
called,45,1
cannot,74,1
care,34,1
ceremonies,125,1
ceremony,115,1
chalice,26,1
chi,5,1
child,29,1
children,80,1
coiled,49,1
comfort,78,1
conceal,57,1
cover,61,1
created,79,1
cult,37,1
cup,31,1
darkened,132,1
decoction,93,1
deed,72,1
deifieth,73,1
delight,60,1
despised,106,1
devouring,142,1
disclose,79,1
dithyramb,113,1
diverse,100,1
dwell,46,1
East,42,1
else,42,1
end,60,1
enjoy,72,1
entirely,92,1
even,72,1
evoke,75,1
excellent,82,1
extended,124,1
fair,31,1
firmly,66,1
flame,52,1
Flaming,74,1
flow,31,1
Follow,42,1
foot,41,1
force,51,1
forward,86,1
fume,71,1
Ga,16,1
Ge,24,1
given,70,1
glories,64,1
gold,45,1
great,52,1
gu,36,1
hath,20,1
heard,58,1
heaven,80,1
himself,65,1
Hūt,12,1
hymn,66,1
illumine,85,1
images,65,1
incense,91,1
infernal,93,1
instruct,98,1
interior,84,1
invoked,109,1
Iod,33,1
Isis,30,1
its,24,1
kindle,78,1
knowest,96,1
Kūt,26,1
la,6,1
lamp,31,1
latai,20,1
latrai,34,1
Le,14,1
leap,23,1
leaps,38,1
licks,35,1
Light,24,1
lu,26,1
made,62,1
make,56,1
malae,45,1
many,68,1
mastered,113,1
matters,86,1
mayest,81,1
men,58,1
men’s,73,1
Mightier,71,1
mighty,62,1
mine,58,1
moai,36,1
moment,98,1
moon,65,1
music,63,1
never,86,1
Ni,24,1
nigh,38,1
Night,47,1
nor,48,1
Now,42,1
Nūt,33,1
ŌĀĪ,15,1
Oath,27,1
observing,129,1
offer,61,1
operation,89,1
or,24,1
outer,71,1
pain,33,1
partake,67,1
parted,68,1
pelai,23,1
perfume,102,1
pervade,94,1
Priestess,98,1
prophet,57,1
Pu,29,1
Qwi,24,1
raisest,71,1
ready,73,1
rejoicing,81,1
Rel,28,1
replenish,87,1
reveal,68,1
Right,37,1
Sa,20,1
sacrament,108,1
Sacrifice,63,1
scourge,90,1
scream,70,1
Se,28,1
Seal,34,1
season,82,1
second,87,1
see,41,1
seeing,76,1
seek,58,1
Serpent,92,1
Shame,57,1
shameless,101,1
shed,54,1
sheer,58,1
should,77,1
sixth,33,1
slain,45,1
smite,58,1
smoke,76,1
snake,74,1
soft,46,1
son,49,1
sons,64,1
soul,51,1
sound,97,1
speak,54,1
spine,56,1
spring,68,1
stability,77,1
stretch,65,1
strictly,68,1
strike,68,1
suck,59,1
sunder,114,1
suspect,83,1
swear,55,1
symbols,100,1
taken,68,1
temple,61,1
than,41,1
therefore,101,1
therefrom,109,1
thereof,74,1
Thinkest,90,1
third,49,1
thought,70,1
time,43,1
too,29,1
twin,41,1
understand,175,1
understood,166,1
utterly,89,1
vampire,79,1
Vast,51,1
Veil,36,1
veins,74,1
very,67,1
Victim,54,1
virgin,71,1
virgins,86,1
warm,48,1
Watchers,69,1
we,21,1
West,45,1
what,25,1
when,48,1
whereby,89,1
whose,49,1
Wi,8,1
won,42,1
word,55,1
writing,66,1
written,77,1
Ya,23,1
yea,36,1
young,88,1
ΛΟΓΟΣ,373,1
