word,value,count
the,25,43
of,22,20
and,52,18
in,24,11
a,5,10
It,9,7
was,28,7
Also,31,6
They,43,6
Heaven,80,5
Light,24,5
all,7,4
arose,57,4
as,20,4
concealed,93,4
Now,42,4
that,26,4
to,19,4
upon,63,4
yet,40,4
But,54,3
certain,67,3
did,46,3
Earth,44,3
is,15,3
manifest,99,3
purity,70,3
secret,66,3
then,49,3
things,62,3
Yea,36,3
Abode,71,2
Brothers,98,2
by,38,2
for,36,2
from,57,2
gathered,91,2
glory,54,2
horror,65,2
imperfection,122,2
Master,77,2
might,44,2
not,43,2
One,47,2
only,53,2
sorrow,71,2
stain,53,2
stainless,97,2
star,43,2
Strength,98,2
their,39,2
themselves,125,2
there,52,2
thing,47,2
unto,68,2
were,48,2
with,20,2
above,70,1
Abyss,73,1
Against,69,1
air,19,1
an,29,1
Aphrodite,81,1
Around,101,1
asserted,107,1
balancing,92,1
bear,52,1
became,74,1
began,73,1
below,52,1
betray,79,1
Black,45,1
body,71,1
cometh,58,1
conceal,57,1
confused,124,1
confusing,123,1
core,39,1
corrupted,114,1
corruption,112,1
Cross,56,1
crust,65,1
daughters,118,1
Demiurge,120,1
divided,104,1
end,60,1
Enemy,89,1
equilibrated,139,1
established,117,1
every,80,1
fading,75,1
fear,44,1
filth,25,1
fires,54,1
firmament,119,1
flame,52,1
flamed,75,1
force,51,1
form,57,1
forms,72,1
formulated,133,1
forth,48,1
foul,48,1
giant,49,1
globe,55,1
guard,78,1
heads,59,1
Hell,18,1
her,30,1
Here,43,1
Hermes,79,1
hiding,61,1
him,24,1
his,18,1
holy,32,1
informeth,106,1
its,24,1
Left-hand,90,1
Likewise,67,1
loathsome,87,1
lowest,56,1
lyre,46,1
men,58,1
more,58,1
Mother,70,1
Nothing,81,1
nuns,88,1
ones,62,1
openly,70,1
or,24,1
over,59,1
Path,21,1
perfection,101,1
Persecutions,144,1
pervert,89,1
presiding,104,1
pretended,136,1
profane,82,1
protecting,96,1
raised,70,1
return,99,1
rite,36,1
rose,52,1
rule,53,1
see,41,1
sensualists,137,1
set,37,1
shame,57,1
Single,64,1
sixfold,67,1
sky,50,1
soft,46,1
songs,75,1
sons,64,1
soul,51,1
Spirit,42,1
stars,58,1
stature,90,1
storm,69,1
sway,46,1
symbol,85,1
symbols,100,1
Tao,24,1
Temple,61,1
terrible,84,1
them,46,1
Therefore,101,1
this,27,1
three,52,1
Time,43,1
together,82,1
truth,60,1
under,99,1
Universe,126,1
unnameable,151,1
unveiled,121,1
up,29,1
Upper,60,1
veiled,72,1
violent,79,1
Water,49,1
waters,64,1
Weak,43,1
weakness,110,1
whereby,89,1
wide,44,1
without,64,1
Woman,68,1
