word,value,count
the,25,63
I,0,33
and,52,29
of,22,28
you,53,27
to,19,19
shall,25,18
They,43,13
ye,31,13
your,67,13
is,15,11
have,43,10
In,24,10
that,26,10
are,32,9
be,33,9
joy,35,9
will,10,9
a,5,8
my,39,8
with,20,7
am,26,6
But,54,6
earth,44,6
their,39,6
unto,68,6
who,21,6
at,14,5
come,46,5
me,34,5
mine,58,5
or,24,5
upon,63,5
All,7,4
as,20,4
beautiful,110,4
from,57,4
it,9,4
love,46,4
stand,76,4
them,46,4
This,27,4
against,69,3
an,29,3
beyond,108,3
both,42,3
bring,69,3
Companion,100,3
down,65,3
end,60,3
give,46,3
God,44,3
kiss,47,3
no,34,3
not,43,3
Only,53,3
seek,58,3
There,52,3
these,53,3
turn,72,3
wine,45,3
abyss,73,2
also,31,2
altar,34,2
Amen,63,2
arisen,71,2
away,36,2
before,82,2
being,68,2
Beware,73,2
black,45,2
can,31,2
Children,80,2
disciples,73,2
do,33,2
earthly,63,2
enslave,93,2
even,72,2
ever,62,2
fear,44,2
feet,47,2
first,50,2
flowers,73,2
folly,42,2
force,51,2
giveth,58,2
golden,82,2
heart,44,2
if,12,2
immortality,108,2
Initiation,81,2
into,43,2
kingdom,106,2
light,24,2
Lord,48,2
Many,68,2
more,58,2
name,63,2
offer,61,2
on,34,2
one,47,2
other,49,2
power,49,2
rejoice,59,2
said,43,2
say,38,2
so,25,2
sorrow,71,2
take,44,2
those,50,2
thread,67,2
unite,71,2
upright,66,2
wisdom,77,2
yourselves,146,2
abideth,73,1
Abodes,86,1
above,70,1
achieve,58,1
acquire,75,1
adepts,69,1
Adoration,100,1
after,53,1
aid,28,1
alight,29,1
Angel,54,1
angry,72,1
another,78,1
approach,47,1
arise,47,1
around,101,1
ask,37,1
attach,33,1
attracted,89,1
awaits,42,1
backs,59,1
balanced,93,1
Because,93,1
become,79,1
bell,35,1
below,52,1
beneath,87,1
bent,66,1
between,100,1
bid,43,1
Blind,68,1
bliss,51,1
bridal,63,1
by,38,1
certain,67,1
cling,38,1
clothed,61,1
coming,68,1
compassion,106,1
conquered,140,1
conquering,139,1
conquerors,143,1
consciousness,170,1
courage,80,1
cowardly,81,1
Creature,95,1
darkly,78,1
darkness,126,1
dawn,60,1
days,61,1
Decay,61,1
defied,84,1
delicious,89,1
delight,60,1
Demon,91,1
depth,52,1
desirable,104,1
despise,83,1
destroy,102,1
dew,44,1
discomforted,152,1
divine,82,1
drink,78,1
either,52,1
Eleusis,82,1
enemies,99,1
enjoy,72,1
equilibrium,135,1
exceedingly,124,1
expecting,82,1
fade,53,1
fail,18,1
Fantasy,88,1
fast,41,1
faster,68,1
feast,54,1
Fire,39,1
firm,47,1
firmly,66,1
flee,39,1
fly,31,1
follies,52,1
foolish,51,1
for,36,1
foundation,142,1
full,39,1
gladdens,115,1
glittering,92,1
goal,27,1
grave,65,1
great,52,1
green,75,1
groves,85,1
guide,72,1
hand,55,1
hands,70,1
happiness,83,1
hath,20,1
hawk,33,1
head,44,1
heads,59,1
health,34,1
heavenly,99,1
heavens,95,1
height,39,1
hells,33,1
hidden,86,1
higher,44,1
hope,30,1
hour,52,1
house,66,1
Iacchus,52,1
idleness,104,1
illumine,85,1
Image,50,1
imperfect,88,1
Invisible,95,1
its,24,1
journey,111,1
joyous,85,1
joys,50,1
know,59,1
languor,90,1
last,30,1
law,14,1
lay,24,1
length,61,1
lest,38,1
let,23,1
Life,26,1
like,31,1
link,42,1
lips,20,1
longer,73,1
lose,39,1
lost,35,1
lower,46,1
lustral,70,1
majesty,88,1
mask,58,1
masters,92,1
may,44,1
might,44,1
mighty,62,1
mighty-sweeping,150,1
mother-of-emerald,182,1
mouths,83,1
must,70,1
myself,80,1
mystery,108,1
naturally,102,1
nothing,81,1
O,10,1
once,49,1
out,44,1
peace,37,1
perfect,67,1
place,25,1
pleasure,90,1
poor,38,1
pour,53,1
proud,76,1
push,47,1
radiant,80,1
ravish,59,1
reach,37,1
rebuke,102,1
reveal,68,1
right,37,1
rooting-out,122,1
rule,53,1
sacrifice,63,1
salvation,91,1
season,82,1
setting-out,125,1
shadows,79,1
sickness,101,1
since,54,1
slavery,88,1
Slime,50,1
sorrowful,109,1
speak,54,1
splendid,103,1
splendour,129,1
spread,74,1
sprinkle,88,1
Stoop,48,1
strengthen,135,1
strong,83,1
struck,82,1
subtlety,110,1
sunset,101,1
sweep,53,1
swift,44,1
swoop,47,1
sword,70,1
tearful,79,1
terrible,84,1
terror,74,1
than,41,1
theirs,54,1
theirsIn,78,1
then,49,1
Throne,73,1
Thus,52,1
timid,53,1
twine,54,1
until,59,1
unutterable,158,1
vain,51,1
victory,75,1
voluptuous,146,1
watering,84,1
way,31,1
ways,46,1
weak,43,1
wealth,39,1
weariness,107,1
weary,58,1
wedded,103,1
weddings,117,1
weeds,72,1
wherewith,71,1
which,16,1
wings,58,1
wise,36,1
words,70,1
world,56,1
worlds,71,1
would,67,1
yea,36,1
yoke,58,1
Yourself,108,1
